Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
Apex.AI,AV Driver / Autonomy Software,Safe real-time middleware for software-defined vehicles and robotics,Passenger loop,Company,Palo Alto,CA,US,North America,2017,,,,,,,,,Commercial-limited / scaled in tooling,"Automotive-grade software framework company built around safe, real-time middleware for software-defined vehicles and robotics. It supports autonomy programs indirectly through production software infrastructure.",,https://apex.ai,Global automotive and robotics customers,"Jan Becker, co-founder and CEO",Enterprise software licensing and integration,Private / acquired partnership status needs verification,"Continental, Daimler Truck, Toyota Ventures, ZF, Volvo",OEM and robotics software programs,Latest ownership / funding needs re-verification,Selected as HL Klemove middleware partner (Jan 2026),0,,12
Applied Intuition,AV Driver / Autonomy Software,"Simulation & synthetic data; Testing, validation & safety assurance; AV middleware, dev platforms & tooling",Passenger loop,Company,Mountain View,CA,US,North America,2017,,,,,,,,,Commercial-scaled supplier,"Dominant independent software platform for AV / ADAS development, simulation and validation. It has become the autonomy tooling layer's highest-valued private company.","The AV industry's default simulation and validation toolchain, valued above $15B.",https://appliedintuition.com,"Global OEM, autonomy, defense and industrial customers","Qasar Younis, Co-founder and CEO; Peter Ludwig, Co-founder and CTO","Enterprise software licensing and platform services to OEMs, AV developers and government/industrial customers.",Late-stage private; $15B valuation after $600M Series F / tender in 2025,"BlackRock, Kleiner Perkins",Reported customers include many leading global automakers and AV/truck developers,Reuters reported $600M Series F/tender and $15B valuation in June 2025,Layer anchor: the broadest independent AV software tooling and validation platform,1,Isuzu,14
Argo AI,AV Driver / Autonomy Software,Ford/VW-backed L4 developer whose alumni seeded Ford Latitude AI,Passenger loop,Company,Pittsburgh,PA,US,North America,2016,,,,,,Yes,Wound down 2022; talent to Ford (Latitude AI) and VW,,Historical,"Ford/VW-backed L4 developer; shut down 2022, staff split to Ford Latitude AI + others",,,,N/A (defunct),,N/A (shut down),"Ford, Volkswagen (withdrew)",,,Shut down Oct 2022 after backers withdrew funding,0,,1
Aurora Innovation,AV Driver / Autonomy Software,"Driverless Dallas-Houston freight, scaling to 200+ trucks by 2026",Adjacent: Freight & Trucking,Company,Pittsburgh,PA,US,North America,2017,3660,20,0.25,,Yes,,,,Commercial-limited,Autonomous trucking leader with driverless commercial freight operations in Texas and deep OEM / supplier relationships. It shifted from passenger AV breadth toward freight execution.,First driverless Class-8 trucks in commercial service on Texas highways.,https://aurora.tech,United States Sun Belt freight corridors,"Chris Urmson, co-founder and CEO",Driver-as-a-service; carrier / freight network partnerships; eventual OEM-integrated trucks,Public (NASDAQ: AUR),"T. Rowe Price, Uber, Sequoia","Driverless commercial ops since April 2025 on Texas corridors incl. the ~1,000-mile Fort Worth–Phoenix lane; a 200-mile Dallas–Oklahoma City lane with Volvo Autonomous Solutions runs five days a week; second OEM fleet (International trucks) from Q2 2026.","250,000 driverless miles with zero Aurora Driver-attributed collisions (early 2026) across 10 driverless routes; targeting 200+ driverless trucks by end of 2026; ~$3.7B raised to date.",Hirschbach Motor Lines signed an MOU for 500 Aurora Driver-powered trucks with deliveries from 2027; targeting 200+ driverless trucks by end of 2026.,7,Continental | McLane Company | NVIDIA DRIVE | PACCAR | Uber Freight | Volvo Trucks / Volvo Autonomous Solutions | Werner Enterprises,12
AutoX,AV Driver / Autonomy Software,Early driverless robotaxi pilots across Shenzhen and Guangzhou,Passenger loop,Company,Shenzhen,,China,Greater China,2016,,,,,,,,,Commercial-limited,L4 robotaxi developer known for China driverless pilots; relevance is strongest inside the Chinese autonomy ecosystem.,,https://autox.ai,China; historical US testing,"Jianxiong Xiao, founder and CEO",Robotaxi technology and operations,Late-stage,Alibaba Entrepreneurs Fund,"China pilot zones, especially Shenzhen / Guangzhou historical footprint",Unknown current fleet metrics,Long-tail China robotaxi player; current scale needs re-verification,0,,6
AutoX / Tensor,AV Driver / Autonomy Software,Tensor robocars aimed at personally owned L4 driving from 2026,Passenger loop,Company,San Jose,CA,US,North America,2016,,,,,,Yes,,,Historical / announced,"AutoX was an early China and US robotaxi developer. The newer Tensor push appears to pivot toward personally owned L4-capable vehicles, but claims require close verification.",,,"China historical; US, Europe and Middle East planned through Tensor",Jianxiong Xiao associated historically with AutoX,Historically robotaxi operations; proposed consumer robocar sales,Private,,"China historical robotaxi operations; Tensor claims planned US, Europe and Middle East launch","Tensor Robocar: a consumer-owned L4 vehicle carrying 100+ sensors (37 cameras, 5 lidars, 11 radars) with onboard NVIDIA compute, contract-built by VinFast for a 2026 launch around $200k; ships with Lyft's rideshare platform pre-installed, and Lyft plans to deploy hundreds from 2027.",Tensor announced robocar plans for 2026,0,,4
Avride,AV Driver / Autonomy Software,Autonomous goods delivery,Passenger loop,Company,Austin,TX,US,North America,2020,375,,,,,,,,Commercial-limited,Yandex-spinout building delivery robots + robotaxis; Uber partner,,https://avride.ai,,Dmitry Polishchuk (CEO),,Late-stage,"Uber, Nebius Group (ex-Yandex)",,,Uber/Avride robotaxi launch in Dallas (Dec 2025),2,Hyundai Motor Group | Uber,7
Baidu (Apollo Go),AV Driver / Autonomy Software,China's largest robotaxi operator with 3.2M rides in Q1 2026,Passenger loop,Company,Beijing,,China,Greater China,2013,,,,,,,,,Commercial-scaled,China's largest robotaxi operator (Apollo Go app + RT6 vehicle); scaling globally via Uber/Lyft,,https://apollo.auto,,Robin Li (Baidu CEO),,Public,Baidu Inc. (Nasdaq/HK),,,~3.2M driverless rides Q1 2026 (+120% YoY); Switzerland L4 approval (Jun 2026),0,,11
Baidu Apollo Go,AV Driver / Autonomy Software,Robotaxi & passenger L4; Robotaxi consumer services; Purpose-built robotaxi/pod makers,Passenger loop,Company,Beijing,,China,Greater China,2013,,1000,137,,,,,Yes,Commercial-scaled,"Baidu's robotaxi service is the largest Chinese deployment anchor, centered on Wuhan and other Chinese cities, with international partnerships forming in the Gulf and Europe.","The world's largest robotaxi operation by cumulative rides, 11M+ trips across China and beyond.",https://apollo.auto,China; Gulf and international expansion announced,Baidu Apollo leadership; Robin Li at parent Baidu,Robotaxi fares; autonomous driving technology ecosystem; platform partnerships,Public parent / subsidiary business line,,"Beijing, Wuhan, Chongqing, Shenzhen and other Chinese cities; fully driverless commercial service in Dubai launched March 2026 with Dubai Taxi Company and Uber; Abu Dhabi scaling; South Korea entry announced; UK, Germany and Switzerland flagged for 2026 entry.","1,000+ fully driverless vehicles across 27 cities (last official count, May 2025); 22M+ cumulative public rides, weekly rides peaking above 350,000 (March 2026); 220M+ fully driverless km. More than 100 Wuhan vehicles stalled mid-route on March 31, 2026; the local service paused while regulators reviewed.",Gulf expansion and Europe platform relationships reported; Wuhan outage drew scrutiny,5,Baidu Apollo HD Map / Baidu Maps | Baidu Apollo RT6 | Dubai RTA | Lyft | Uber,14
BMW Personal Pilot / ADAS,AV Driver / Autonomy Software,Took Level 3 to German roads on the 7-Series flagship,Passenger loop,Company,Munich,,Germany,Europe,1916,,,,,,,,,Commercial-limited / ended for L3; commercial-scaled for L2 ADAS,"BMW commercialized Level 3 in limited contexts but 2026 reporting indicates it is also stepping back from L3 on cost and demand grounds, favoring Level 2 systems.",,https://bmw.com,Germany; global vehicle markets,"Oliver Zipse, CEO",Vehicle sales; software-enabled driver assistance,Public company,,Germany limited L3 offering; broader global ADAS,Personal Pilot L3 reportedly discontinued after 7-Series facelift in 2026,L3 retrenchment highlights weak consumer pull for conditional automation,2,Innoviz | Qualcomm Snapdragon Ride,11
